Name;Brand;Price;URL
Sony trådløse around-ear hodetelefoner WH-1000XM3 (sort);Not found;2 590;https://www.elkjop.no/product/lyd-hi-fi/hodetelefoner/WH1000XM3B/sony-tradlose-around-ear-hodetelefoner-wh-1000xm3-sort
Huawei Mate 20 Pro smarttelefon (midnight blue);Not found;4 444;https://www.elkjop.no/product/mobil-og-gps/mobiltelefon/11194/huawei-mate-20-pro-smarttelefon-midnight-blue
iPad 10,2" (2019) 32 GB WiFi (stellargrå);Not found;3 990;https://www.elkjop.no/product/data/ipad-og-nettbrett/52947/ipad-10-2-2019-32-gb-wifi-stellargra
Oral-B Pro 790 Double Body elektrisk tannbørste (x2);Not found;499;https://www.elkjop.no/product/styling-og-velvare/tannborster/PRO790BODY/oral-b-pro-790-double-body-elektrisk-tannborste-x2
Nespresso Citiz & Milk kapselmaskin D123 (hvit);Not found;1 789;https://www.elkjop.no/product/hjem-og-husholdning/kaffemaskin-og-espresso/kapselmaskin/40596/nespresso-citiz-milk-kapselmaskin-d123-hvit
Philips Series 7000 multitrimmer MG7710/15;Not found;699;https://www.elkjop.no/product/styling-og-velvare/barbermaskin-og-trimmer/MG771015/philips-series-7000-multitrimmer-mg7710-15
Remington Proluxe Midnight Edition hårføner AC9140B;Not found;799;https://www.elkjop.no/product/styling-og-velvare/harfoner/51647/remington-proluxe-midnight-edition-harfoner-ac9140b
Oral-B Genius X elektrisk tannbørste 20200S (rose gold);Not found;2 299;https://www.elkjop.no/product/styling-og-velvare/tannborster/47913/oral-b-genius-x-elektrisk-tannborste-20200s-rose-gold
Nintendo Switch spillkonsoll: Mario Kart 8 Deluxe spillpakke;Not found;3 590;https://www.elkjop.no/product/gaming/spillkonsoll/nintendo-konsoll/106451/nintendo-switch-spillkonsoll-mario-kart-8-deluxe-spillpakke
Xbox One S 1 TB All-Digital utgave (hvit);Not found;1 690;https://www.elkjop.no/product/gaming/spillkonsoll/xbox-one-konsoll/61775/xbox-one-s-1-tb-all-digital-utgave-hvit
SteelSeries Arctis 5 2019 Edition gamingheadset (sort);Not found;695;https://www.elkjop.no/product/gaming/gaming-headset/SSARCTIS5BLA/steelseries-arctis-5-2019-edition-gamingheadset-sort
Edge Esport i5 + Asus VG258Q 24" pakke;Not found;16 995;https://www.elkjop.no/product/data/stasjonar-pc/70415/edge-esport-i5-asus-vg258q-24-pakke
Mill Glass panelovn AV800LWIFI;Not found;1 249;https://www.elkjop.no/product/hjem-og-husholdning/oppvarming/panelovn/AV800LWIFI/mill-glass-panelovn-av800lwifi
Mill gulvovn SG2000MEC;Not found;699;https://www.elkjop.no/product/hjem-og-husholdning/oppvarming/gulvovn-oljeovn-og-konvektorovn/SG2000MEC/mill-gulvovn-sg2000mec
