Name;Brand;Price;URL
Nybakt Julebrioche 600 g;Brødverket;kr 69,90;https://kolonial.no/produkter/30861-brodverket-nybakt-julebrioche/
Nybakt Julekake 600 g;Brødverket;kr 49,90;https://kolonial.no/produkter/30859-brodverket-nybakt-julekake/
Ekstra Saftige Klementiner Med Blader, Spania, 900 g;Not found;kr 34,90;https://kolonial.no/produkter/27046-ekstra-saftige-klementiner-med-blader-spania/
Norvegia 27% skorpefri 1,3 kg;Tine;kr 115,20;https://kolonial.no/produkter/30839-tine-norvegia-27-skorpefri/
Figurbakte Pepperkaker 375 g;Sætre;kr 39,90;https://kolonial.no/produkter/16645-saetre-figurbakte-pepperkaker/
Nistesalami Bordpakning, 250 g;Grilstad;kr 41,86;https://kolonial.no/produkter/15687-grilstad-nistesalami-bordpakning/
Hamar Julebrus 6 x 0,33l, 1,98 l;Ringnes;kr 42,40;https://kolonial.no/produkter/23492-ringnes-hamar-julebrus-6-x-033l/
Juletallerken 630 g;Fjordland;kr 92,90;https://kolonial.no/produkter/16924-fjordland-juletallerken/
Rødkål 450 g;Nora;kr 9,90;https://kolonial.no/produkter/335-nora-rodkal/
Julekrans tradisjonelt pyntet ø30cm, 1 stk;FreshFlowers;kr 175,00;https://kolonial.no/produkter/30830-freshflowers-julekrans-tradisjonelt-pyntet-o30cm/
Lykken Hestesko 1,5 l;Diplom-Is;kr 29,90;https://kolonial.no/produkter/19819-diplom-is-lykken-hestesko/
Store Saftige Røde Druer Red Globe, Peru, 900 g;Not found;kr 49,90;https://kolonial.no/produkter/28064-store-saftige-rode-druer-red-globe-peru/
Røde Julepler / Red Del Italia, 4 stk;Not found;kr 29,90;https://kolonial.no/produkter/28065-rode-julepler-red-del-italia/
Brente Mandler 160 g;Den Lille Nøttefabrikken;kr 54,90;https://kolonial.no/produkter/16591-den-lille-nottefabrikken-brente-mandler/
Ovnsbakt Julepostei 400 g;Mills;kr 31,70;https://kolonial.no/produkter/16651-mills-ovnsbakt-julepostei/
Juleansjosfilet 200 g;Stabburet;kr 36,40;https://kolonial.no/produkter/9521-stabburet-juleansjosfilet/
Troika 66 g;Nidar;kr 10,90;https://kolonial.no/produkter/255-nidar-troika/
Havsalt 195 g;Sørlandschips;kr 20,50;https://kolonial.no/produkter/260-sorlandschips-havsalt/plukk-og-miks/
Agurk, Stor Norsk, 1 stk;Miljøgartneriet;kr 24,90;https://kolonial.no/produkter/9281-miljogartneriet-agurk-stor-norsk/
Frokostegg Fra Frittgående Høner Str L, 12 stk;Prior;kr 46,50;https://kolonial.no/produkter/28870-frokostegg-fra-frittgaende-honer-str-l/
Agurk vår laveste pris Norge/Holland, 1 stk;Not found;kr 19,90;https://kolonial.no/produkter/26941-agurk-var-laveste-pris-norge-holland/
Avokado Spisemoden Peru/ Columbia, 2 stk;Not found;kr 29,90;https://kolonial.no/produkter/9452-avokado-spisemoden-peru-columbia/
Ekte Meierismør 500 g;Tine;kr 34,20;https://kolonial.no/produkter/130-tine-ekte-meierismor/
Toalettpapir Lambi 6 stk;Lambi;kr 33,40;https://kolonial.no/produkter/2971-lambi-toalettpapir-lambi/
Brokkoli Spania, 1 stk;Not found;kr 10,00;https://kolonial.no/produkter/9380-brokkoli-spania/
TineMelk Lett 1,75 l;Tine;kr 30,20;https://kolonial.no/produkter/8143-tine-tinemelk-lett/
Gulrøtter vasket Norge, 1 kg;Not found;kr 33,20;https://kolonial.no/produkter/27853-gulrotter-vasket-norge/
